,ARE,AUS,AUT,BRA,CAN,CHE,CHN,DEU,EGY,ESP,FIN,FRA,GBR,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NLD,NOR,PAK,PRK,PRT,PSE,RUS,SAU,SWE,SYR,TUR,UKR,USA
Oct-2012,2.394671174448204,3.6868429468557555,0.5648677771779869,2.1124077534734202,1.8562764280875577,1.28741093157292,7.846515327875636,0.4218670722635521,2.219011490322927,-2.6844079679954413,-1.3100428907690596,0.3595803846703402,1.5622400669366547,5.620455583872269,0.10047962164367974,-3.354490423282617,2.910215210349774,-2.7797574769397366,1.4859890893670684,2.5370329296400915,3.0765444304309213,5.335854486604483,-0.8714989262429881,2.4176471886668023,3.2639276412799805,,-3.504120266548365,5.849770675425211,3.6237336853410516,4.901715288277506,-0.27487863636190024,-26.332147180356653,5.440961702630112,0.13345451907572134,2.258886925005939
Nov-2012,2.6480891252702503,3.5839244230657092,0.5134998662274375,2.1973996502325535,1.9009942515015787,1.3354807530492934,7.8388614964332035,0.42336461806175385,2.21581668682873,-2.562401672748864,-1.2711527408096104,0.3802228884895261,1.5841526525529857,5.6933747093057185,0.20277816948308452,-3.1799655453453806,3.0535758176859136,-2.690358236362855,1.5354282405485475,2.5968115683859727,2.8646927284289885,5.274699061744907,-0.8008966750246005,2.284175153945461,3.368969299232732,,-3.2582654482607003,5.740132503053509,3.4457992532840924,4.676292715238985,-0.1355782218601954,-26.329093892847077,5.730947921096793,0.12507209768686284,2.245452941595703
Dec-2012,2.9015070760922965,3.4810058992756634,0.4621319552768881,2.2823915469916867,1.9457120749156,1.3835505745256667,7.83120766499077,0.4248621638599557,2.2126218833345335,-2.440395377502287,-1.2322625908501614,0.400865392308712,1.6060652381693166,5.766293834739167,0.3050767173224893,-3.0054406674081435,3.196936425022053,-2.600958995785973,1.5848673917300269,2.6565902071318535,2.6528410264270557,5.21354363688533,-0.730294423806213,2.15070311922412,3.474010957185483,,-3.0124106299730355,5.630494330681807,3.2678648212271333,4.450870142200463,0.003722192641509414,-26.3260406053375,6.020934139563474,0.11668967629800434,2.232018958185467
Jan-2013,3.154925026914343,3.378087375485617,0.41076404432633873,2.36738344375082,1.9904298983296211,1.43162039600204,7.823553833548337,0.4263597096581575,2.2094270798403364,-2.3183890822557096,-1.1933724408907123,0.42150789612789785,1.6279778237856477,5.839212960172615,0.40737526516189415,-2.8309157894709065,3.340297032358193,-2.511559755209092,1.634306542911506,2.716368845877734,2.440989324425123,5.152388212025754,-0.6596921725878255,2.0172310845027788,3.5790526151382345,,-2.7665558116853717,5.520856158310105,3.089930389170174,4.2254475691619415,0.14302260714321413,-26.322987317827923,6.310920358030154,0.10830725490914582,2.2185849747752306
Feb-2013,3.408342977736389,3.275168851695571,0.3593961333757893,2.4523753405099535,2.0351477217436424,1.4796902174784132,7.815900002105905,0.4278572554563593,2.2062322763461397,-2.1963827870091324,-1.1544822909312633,0.44215039994708377,1.6498904094019786,5.912132085606064,0.5096738130012989,-2.65639091153367,3.4836576396943326,-2.42216051463221,1.6837456940929854,2.776147484623615,2.22913762242319,5.091232787166177,-0.5890899213694379,1.8837590497814376,3.6840942730909862,,-2.520700993397707,5.411217985938403,2.9119959571132146,4.00002499612342,0.28232302164491896,-26.319934030318347,6.600906576496835,0.0999248335202873,2.2051509913649947
Mar-2013,3.6617609285584356,3.1722503279055245,0.3080282224252399,2.5373672372690868,2.0798655451576633,1.5277600389547867,7.808246170663471,0.4293548012545611,2.2030374728519426,-2.074376491762555,-1.1155921409718141,0.46279290376626964,1.6718029950183095,5.985051211039512,0.6119723608407037,-2.4818660335964333,3.627018247030472,-2.3327612740553287,1.7331848452744645,2.8359261233694957,2.017285920421257,5.030077362306601,-0.5184876701510504,1.7502870150600964,3.7891359310437376,,-2.274846175110042,5.3015798135667005,2.734061525056256,3.7746024230848985,0.4216234361466238,-26.31688074280877,6.890892794963516,0.0915424121314288,2.1917170079547588
Apr-2013,3.9151788793804814,3.0693318041154782,0.25666031147469054,2.62235913402822,2.1245833685716846,1.57582986043116,7.800592339221039,0.4308523470527629,2.199842669357746,-1.9523701965159777,-1.076701991012365,0.48343540758545556,1.6937155806346407,6.057970336472962,0.7142709086801085,-2.3073411556591963,3.770378854366612,-2.243362033478447,1.7826239964559436,2.8957047621153764,1.8054342184193246,4.968921937447024,-0.44788541893266287,1.6168149803387553,3.894177588996489,,-2.028991356822378,5.191941641194999,2.5561270929992963,3.549179850046377,0.5609238506483285,-26.313827455299194,7.1808790134301965,0.08315999074257029,2.1782830245445224
May-2013,4.168596830202528,2.966413280325432,0.20529240052414116,2.707351030787353,2.169301191985706,1.6238996819075333,7.792938507778605,0.4323498928509647,2.196647865863549,-1.8303639012694004,-1.0378118410529158,0.5040779114046414,1.7156281662509716,6.13088946190641,0.8165694565195133,-2.1328162777219593,3.913739461702751,-2.1539627929015657,1.832063147637423,2.955483400861257,1.5935825164173918,4.907766512587448,-0.3772831677142753,1.483342945617414,3.9992192469492402,,-1.7831365385347135,5.082303468823297,2.378192660942337,3.3237572770078554,0.7002242651500334,-26.310774167789617,7.4708652318968785,0.07477756935371178,2.1648490411342864
Jun-2013,4.422014781024575,2.8634947565353857,0.15392448957359173,2.7923429275464864,2.214019015399727,1.6719695033839066,7.785284676336173,0.4338474386491665,2.1934530623693522,-1.7083576060228232,-0.9989216910934668,0.5247204152238273,1.7375407518673025,6.203808587339858,0.918868004358918,-1.9582913997847224,4.057100069038891,-2.064563552324684,1.881502298818902,3.015262039607138,1.3817308144154592,4.846611087727871,-0.3066809164958878,1.349870910896073,4.104260904901992,,-1.5372817202470488,4.972665296451595,2.200258228885378,3.098334703969334,0.8395246796517382,-26.30772088028004,7.760851450363559,0.06639514796485327,2.1514150577240505
Jul-2013,4.6754327318466204,2.76057623274534,0.10255657862304235,2.87733482430562,2.258736838813748,1.7200393248602799,7.77763084489374,0.4353449844473683,2.190258258875155,-1.586351310776246,-0.9600315411340177,0.5453629190430132,1.7594533374836336,6.276727712773307,1.0211665521983226,-1.7837665218474856,4.20046067637503,-1.9751643117478024,1.9309414500003812,3.075040678353019,1.1698791124135264,4.785455662868294,-0.2360786652775002,1.2163988761747317,4.209302562854743,,-1.2914269019593845,4.863027124079893,2.022323796828419,2.8729121309308123,0.9788250941534429,-26.304667592770464,8.05083766883024,0.058012726575994766,2.1379810743138146
Aug-2013,4.928850682668667,2.657657708955293,0.05118866767249297,2.9623267210647533,2.3034546622277694,1.7681091463366534,7.769977013451307,0.43684253024557007,2.1870634553809585,-1.4643450155296687,-0.9211413911745685,0.5660054228621991,1.7813659230999646,6.3496468382067555,1.1234651000377278,-1.609241643910249,4.34382128371117,-1.8857650711709206,1.9803806011818605,3.1348193170989,0.9580274104115936,4.724300238008718,-0.16547641405911273,1.0829268414533906,4.314344220807494,,-1.0455720836717202,4.753388951708191,1.8443893647714598,2.647489557892291,1.1181255086551478,-26.301614305260888,8.34082388729692,0.04963030518713625,2.124547090903578
Sep-2013,5.020662880925554,2.6062456072494857,0.05043679598762562,2.9067494565344347,2.347290169931453,1.8140161048399936,7.752801609831817,0.5070796218977709,2.2141109880218797,-1.2935725645657474,-0.8806458001433626,0.5912230033051161,1.8473598727595453,6.426268016776053,1.4747863093827465,-1.2668123707441175,4.396035913082389,-1.769045140744494,1.938084699806719,3.1661888387503407,0.9168726160175296,4.745212698912384,-0.06925094791851669,1.0566591054440189,4.357043995738001,,-0.8553962440807016,4.508121374684001,1.7154552888615169,2.5848427623555383,1.245423659412291,-25.67303873003735,8.346754179464988,-0.35159361447152854,2.133751264501259
Oct-2013,4.950869326617282,2.6063399276279173,0.10030096356844026,2.7106030307146645,2.3902433619248,1.857760200370301,7.72610463403527,0.6460562594039708,2.2714008567979187,-1.0740339578844824,-0.8385447680403996,0.6210156603717644,1.9574351864623758,6.506591248481198,2.075130180233379,-0.7564787023490924,4.357104564488685,-1.6250045204685222,1.8040537458749564,3.1691492433073414,1.0464147292313344,4.848193045579294,0.05259773314428795,1.1375956681466164,4.337401887646264,,-0.7208993831863288,4.127224393007324,1.6355215690985907,2.6849717443205545,1.360719546424873,-24.418940867099852,8.068628545334441,-1.1456590323999996,2.1655935951068557
