Date,GDP-ARE,GDP-AUS,GDP-AUT,GDP-BRA,GDP-CAN,GDP-CHE,GDP-CHN,GDP-DEU,GDP-EGY,GDP-ESP,GDP-FIN,GDP-FRA,GDP-GBR,GDP-IND,GDP-IRL,GDP-IRN,GDP-ISR,GDP-ITA,GDP-JPN,GDP-KOR,GDP-MEX,GDP-MYS,GDP-NLD,GDP-NOR,GDP-PAK,GDP-PRK,GDP-PRT,GDP-PSE,GDP-RUS,GDP-SAU,GDP-SWE,GDP-SYR,GDP-TUR,GDP-UKR,GDP-USA
Jul-11,6.216121817,2.40897178,2.922797284,3.974423079,3.13719439,1.813108192,9.550832179,3.925192705,1.764571948,-0.814384777,2.547664838,2.192700633,1.145101541,5.241316199,1.280752091,2.64571792,5.561139076,0.707333347,0.023809524,3.685667782,3.444045058,5.293912834,1.551189312,1.105656027,2.680116854,,-1.696164781,9.600808489,4.300029186,10.99376168,3.195333235,2.850002844,11.20011058,5.44528081,1.564406854
Aug-11,5.871679383,2.527359062,2.746926562,3.813384092,3.028838855,1.763394125,9.418510945,3.650157794,1.800778054,-0.982583785,2.238236559,2.045283701,1.173951361,5.258184541,1.170129017,2.144314836,5.327924548,0.418059691,0.129765718,3.585029603,3.452607074,5.307994509,1.348715328,1.232111183,2.707369172,,-1.881351355,9.325957358,4.278386595,10.55573457,2.898577329,0.560667948,10.69723859,5.030146235,1.621246582
Sep-11,5.527236949,2.645746344,2.571055839,3.652345104,2.920483321,1.713680057,9.286189711,3.375122883,1.83698416,-1.150782793,1.928808279,1.897866769,1.202801182,5.275052882,1.059505942,1.642911752,5.09471002,0.128786035,0.235721912,3.484391423,3.46116909,5.322076184,1.146241343,1.358566339,2.734621491,,-2.06653793,9.051106226,4.256744005,10.11770746,2.601821423,-1.728666948,10.1943666,4.615011659,1.678086311
Oct-11,5.182794515,2.764133626,2.395185117,3.491306116,2.812127786,1.66396599,9.153868478,3.100087973,1.873190266,-1.318981802,1.619379999,1.750449837,1.231651002,5.291921223,0.948882867,1.141508669,4.861495492,-0.160487621,0.341678106,3.383753243,3.469731105,5.33615786,0.943767359,1.485021495,2.761873809,,-2.251724505,8.776255095,4.235101414,9.679680359,2.305065516,-4.018001844,9.691494613,4.199877083,1.734926039
Nov-11,4.838352081,2.882520908,2.219314395,3.330267128,2.703772252,1.614251923,9.021547244,2.825053062,1.909396372,-1.48718081,1.309951719,1.603032905,1.260500822,5.308789565,0.838259793,0.640105585,4.628280964,-0.449761277,0.4476343,3.283115064,3.478293121,5.350239535,0.741293374,1.611476651,2.789126127,,-2.436911079,8.501403963,4.213458824,9.241653253,2.00830961,-6.307336739,9.188622623,3.784742507,1.791765767
Dec-11,4.493909647,3.00090819,2.043443673,3.169228141,2.595416717,1.564537855,8.88922601,2.550018152,1.945602478,-1.655379818,1.00052344,1.455615973,1.289350642,5.325657906,0.727636718,0.138702501,4.395066436,-0.739034933,0.553590495,3.182476884,3.486855137,5.36432121,0.538819389,1.737931808,2.816378445,,-2.622097654,8.226552832,4.191816233,8.803626148,1.711553704,-8.596671635,8.685750633,3.369607931,1.848605495
Jan-12,4.149467214,3.119295472,1.867572951,3.008189153,2.487061183,1.514823788,8.756904776,2.274983241,1.981808583,-1.823578826,0.69109516,1.308199041,1.318200463,5.342526248,0.617013643,-0.362700583,4.161851908,-1.02830859,0.659546689,3.081838705,3.495417153,5.378402885,0.336345405,1.864386964,2.843630763,,-2.807284229,7.9517017,4.170173643,8.365599042,1.414797798,-10.88600653,8.182878643,2.954473355,1.905445223
Feb-12,3.80502478,3.237682754,1.691702229,2.847150165,2.378705649,1.465109721,8.624583543,1.99994833,2.018014689,-1.991777835,0.38166688,1.160782109,1.347050283,5.359394589,0.506390568,-0.864103667,3.92863738,-1.317582246,0.765502883,2.981200525,3.503979169,5.39248456,0.13387142,1.99084212,2.870883081,,-2.992470803,7.676850569,4.148531053,7.927571936,1.118041892,-13.17534143,7.680006653,2.539338779,1.962284951
Mar-12,3.460582346,3.356070036,1.515831507,2.686111178,2.270350114,1.415395653,8.492262309,1.72491342,2.054220795,-2.159976843,0.072238601,1.013365178,1.375900103,5.37626293,0.395767494,-1.36550675,3.695422852,-1.606855902,0.871459077,2.880562345,3.512541185,5.406566235,-0.068602565,2.117297276,2.8981354,,-3.177657378,7.401999438,4.126888462,7.48954483,0.821285985,-15.46467632,7.177134663,2.124204203,2.019124679
Apr-12,3.116139912,3.474457318,1.339960785,2.52507219,2.16199458,1.365681586,8.359941075,1.449878509,2.090426901,-2.328175851,-0.237189679,0.865948246,1.404749923,5.393131272,0.285144419,-1.866909834,3.462208324,-1.896129558,0.977415271,2.779924166,3.521103201,5.420647911,-0.271076549,2.243752432,2.925387718,,-3.362843953,7.127148306,4.105245872,7.051517724,0.524530079,-17.75401122,6.674262674,1.709069627,2.075964407
